API Name,Instance Family,Instance Size,Category,vCPUs,Memory (GiB),Network (Gbps),Region,Pricing Model,OS,Hourly Cost ($),Monthly Cost ($),Memory per vCPU (GiB),Cost per vCPU ($/hr),Cost per GiB ($/hr)
t3.nano,t3,nano,Burstable,2,0.5,5.0,ap-southeast-1,Reserved-1yr,RHEL,0.0038,2.77,0.25,0.0019,0.0076
t3.nano,t3,nano,Burstable,2,0.5,5.0,ap-southeast-1,Reserved-3yr,Linux,0.0024,1.75,0.25,0.0012,0.0048
t3.nano,t3,nano,Burstable,2,0.5,5.0,ap-southeast-1,Reserved-3yr,Windows,0.0035,2.56,0.25,0.0018,0.007
t3.nano,t3,nano,Burstable,2,0.5,5.0,ap-southeast-1,Reserved-3yr,RHEL,0.0026,1.9,0.25,0.0013,0.0052
t3.nano,t3,nano,Burstable,2,0.5,5.0,ap-southeast-1,Spot,Linux,0.0018,1.31,0.25,0.0009,0.0036
t3.nano,t3,nano,Burstable,2,0.5,5.0,ap-southeast-1,Spot,Windows,0.0026,1.9,0.25,0.0013,0.0052
t3.nano,t3,nano,Burstable,2,0.5,5.0,ap-southeast-1,Spot,RHEL,0.0019,1.39,0.25,0.0009,0.0038
t3.nano,t3,nano,Burstable,2,0.5,5.0,ap-northeast-1,OnDemand,Linux,0.0062,4.53,0.25,0.0031,0.0124
t3.nano,t3,nano,Burstable,2,0.5,5.0,ap-northeast-1,OnDemand,Windows,0.0091,6.64,0.25,0.0046,0.0182
t3.nano,t3,nano,Burstable,2,0.5,5.0,ap-northeast-1,OnDemand,RHEL,0.0067,4.89,0.25,0.0034,0.0134
t3.nano,t3,nano,Burstable,2,0.5,5.0,ap-northeast-1,Reserved-1yr,Linux,0.0037,2.7,0.25,0.0019,0.0074
t3.nano,t3,nano,Burstable,2,0.5,5.0,ap-northeast-1,Reserved-1yr,Windows,0.0055,4.01,0.25,0.0027,0.011
t3.nano,t3,nano,Burstable,2,0.5,5.0,ap-northeast-1,Reserved-1yr,RHEL,0.004,2.92,0.25,0.002,0.008
t3.nano,t3,nano,Burstable,2,0.5,5.0,ap-northeast-1,Reserved-3yr,Linux,0.0025,1.82,0.25,0.0013,0.005
t3.nano,t3,nano,Burstable,2,0.5,5.0,ap-northeast-1,Reserved-3yr,Windows,0.0036,2.63,0.25,0.0018,0.0072
t3.nano,t3,nano,Burstable,2,0.5,5.0,ap-northeast-1,Reserved-3yr,RHEL,0.0027,1.97,0.25,0.0014,0.0054
t3.nano,t3,nano,Burstable,2,0.5,5.0,ap-northeast-1,Spot,Linux,0.0019,1.39,0.25,0.0009,0.0038
t3.nano,t3,nano,Burstable,2,0.5,5.0,ap-northeast-1,Spot,Windows,0.0027,1.97,0.25,0.0014,0.0054
t3.nano,t3,nano,Burstable,2,0.5,5.0,ap-northeast-1,Spot,RHEL,0.002,1.46,0.25,0.001,0.004
t3.micro,t3,micro,Burstable,2,1.0,5.0,us-east-1,OnDemand,Linux,0.0104,7.59,0.5,0.0052,0.0104
t3.micro,t3,micro,Burstable,2,1.0,5.0,us-east-1,OnDemand,Windows,0.0152,11.1,0.5,0.0076,0.0152
t3.micro,t3,micro,Burstable,2,1.0,5.0,us-east-1,OnDemand,RHEL,0.0111,8.1,0.5,0.0056,0.0111
t3.micro,t3,micro,Burstable,2,1.0,5.0,us-east-1,Reserved-1yr,Linux,0.0062,4.53,0.5,0.0031,0.0062
t3.micro,t3,micro,Burstable,2,1.0,5.0,us-east-1,Reserved-1yr,Windows,0.0091,6.64,0.5,0.0046,0.0091
t3.micro,t3,micro,Burstable,2,1.0,5.0,us-east-1,Reserved-1yr,RHEL,0.0067,4.89,0.5,0.0034,0.0067
t3.micro,t3,micro,Burstable,2,1.0,5.0,us-east-1,Reserved-3yr,Linux,0.0042,3.07,0.5,0.0021,0.0042
t3.micro,t3,micro,Burstable,2,1.0,5.0,us-east-1,Reserved-3yr,Windows,0.0061,4.45,0.5,0.0031,0.0061
t3.micro,t3,micro,Burstable,2,1.0,5.0,us-east-1,Reserved-3yr,RHEL,0.0045,3.28,0.5,0.0022,0.0045
t3.micro,t3,micro,Burstable,2,1.0,5.0,us-east-1,Spot,Linux,0.0031,2.26,0.5,0.0015,0.0031
t3.micro,t3,micro,Burstable,2,1.0,5.0,us-east-1,Spot,Windows,0.0046,3.36,0.5,0.0023,0.0046
t3.micro,t3,micro,Burstable,2,1.0,5.0,us-east-1,Spot,RHEL,0.0033,2.41,0.5,0.0016,0.0033
t3.micro,t3,micro,Burstable,2,1.0,5.0,us-west-2,OnDemand,Linux,0.0107,7.81,0.5,0.0053,0.0107
t3.micro,t3,micro,Burstable,2,1.0,5.0,us-west-2,OnDemand,Windows,0.0156,11.39,0.5,0.0078,0.0156
t3.micro,t3,micro,Burstable,2,1.0,5.0,us-west-2,OnDemand,RHEL,0.0115,8.39,0.5,0.0057,0.0115
t3.micro,t3,micro,Burstable,2,1.0,5.0,us-west-2,Reserved-1yr,Linux,0.0064,4.67,0.5,0.0032,0.0064
t3.micro,t3,micro,Burstable,2,1.0,5.0,us-west-2,Reserved-1yr,Windows,0.0094,6.86,0.5,0.0047,0.0094
t3.micro,t3,micro,Burstable,2,1.0,5.0,us-west-2,Reserved-1yr,RHEL,0.0069,5.04,0.5,0.0034,0.0069
t3.micro,t3,micro,Burstable,2,1.0,5.0,us-west-2,Reserved-3yr,Linux,0.0043,3.14,0.5,0.0022,0.0043
t3.micro,t3,micro,Burstable,2,1.0,5.0,us-west-2,Reserved-3yr,Windows,0.0063,4.6,0.5,0.0032,0.0063
t3.micro,t3,micro,Burstable,2,1.0,5.0,us-west-2,Reserved-3yr,RHEL,0.0046,3.36,0.5,0.0023,0.0046
t3.micro,t3,micro,Burstable,2,1.0,5.0,us-west-2,Spot,Linux,0.0032,2.34,0.5,0.0016,0.0032
t3.micro,t3,micro,Burstable,2,1.0,5.0,us-west-2,Spot,Windows,0.0047,3.43,0.5,0.0024,0.0047
t3.micro,t3,micro,Burstable,2,1.0,5.0,us-west-2,Spot,RHEL,0.0034,2.48,0.5,0.0017,0.0034
t3.micro,t3,micro,Burstable,2,1.0,5.0,eu-west-1,OnDemand,Linux,0.0114,8.32,0.5,0.0057,0.0114
t3.micro,t3,micro,Burstable,2,1.0,5.0,eu-west-1,OnDemand,Windows,0.0167,12.19,0.5,0.0083,0.0167
t3.micro,t3,micro,Burstable,2,1.0,5.0,eu-west-1,OnDemand,RHEL,0.0122,8.91,0.5,0.0061,0.0122
t3.micro,t3,micro,Burstable,2,1.0,5.0,eu-west-1,Reserved-1yr,Linux,0.0069,5.04,0.5,0.0034,0.0069
t3.micro,t3,micro,Burstable,2,1.0,5.0,eu-west-1,Reserved-1yr,Windows,0.01,7.3,0.5,0.005,0.01
t3.micro,t3,micro,Burstable,2,1.0,5.0,eu-west-1,Reserved-1yr,RHEL,0.0073,5.33,0.5,0.0037,0.0073
t3.micro,t3,micro,Burstable,2,1.0,5.0,eu-west-1,Reserved-3yr,Linux,0.0046,3.36,0.5,0.0023,0.0046
t3.micro,t3,micro,Burstable,2,1.0,5.0,eu-west-1,Reserved-3yr,Windows,0.0067,4.89,0.5,0.0034,0.0067
t3.micro,t3,micro,Burstable,2,1.0,5.0,eu-west-1,Reserved-3yr,RHEL,0.0049,3.58,0.5,0.0024,0.0049
t3.micro,t3,micro,Burstable,2,1.0,5.0,eu-west-1,Spot,Linux,0.0034,2.48,0.5,0.0017,0.0034
t3.micro,t3,micro,Burstable,2,1.0,5.0,eu-west-1,Spot,Windows,0.005,3.65,0.5,0.0025,0.005
t3.micro,t3,micro,Burstable,2,1.0,5.0,eu-west-1,Spot,RHEL,0.0037,2.7,0.5,0.0019,0.0037
t3.micro,t3,micro,Burstable,2,1.0,5.0,ap-southeast-1,OnDemand,Linux,0.012,8.76,0.5,0.006,0.012
t3.micro,t3,micro,Burstable,2,1.0,5.0,ap-southeast-1,OnDemand,Windows,0.0175,12.78,0.5,0.0088,0.0175
t3.micro,t3,micro,Burstable,2,1.0,5.0,ap-southeast-1,OnDemand,RHEL,0.0128,9.34,0.5,0.0064,0.0128
t3.micro,t3,micro,Burstable,2,1.0,5.0,ap-southeast-1,Reserved-1yr,Linux,0.0072,5.26,0.5,0.0036,0.0072
t3.micro,t3,micro,Burstable,2,1.0,5.0,ap-southeast-1,Reserved-1yr,Windows,0.0105,7.67,0.5,0.0053,0.0105
t3.micro,t3,micro,Burstable,2,1.0,5.0,ap-southeast-1,Reserved-1yr,RHEL,0.0077,5.62,0.5,0.0039,0.0077
t3.micro,t3,micro,Burstable,2,1.0,5.0,ap-southeast-1,Reserved-3yr,Linux,0.0048,3.5,0.5,0.0024,0.0048
t3.micro,t3,micro,Burstable,2,1.0,5.0,ap-southeast-1,Reserved-3yr,Windows,0.007,5.11,0.5,0.0035,0.007
t3.micro,t3,micro,Burstable,2,1.0,5.0,ap-southeast-1,Reserved-3yr,RHEL,0.0051,3.72,0.5,0.0026,0.0051
t3.micro,t3,micro,Burstable,2,1.0,5.0,ap-southeast-1,Spot,Linux,0.0036,2.63,0.5,0.0018,0.0036
t3.micro,t3,micro,Burstable,2,1.0,5.0,ap-southeast-1,Spot,Windows,0.0052,3.8,0.5,0.0026,0.0052
t3.micro,t3,micro,Burstable,2,1.0,5.0,ap-southeast-1,Spot,RHEL,0.0038,2.77,0.5,0.0019,0.0038
t3.micro,t3,micro,Burstable,2,1.0,5.0,ap-northeast-1,OnDemand,Linux,0.0125,9.12,0.5,0.0063,0.0125
t3.micro,t3,micro,Burstable,2,1.0,5.0,ap-northeast-1,OnDemand,Windows,0.0182,13.29,0.5,0.0091,0.0182
t3.micro,t3,micro,Burstable,2,1.0,5.0,ap-northeast-1,OnDemand,RHEL,0.0134,9.78,0.5,0.0067,0.0134
t3.micro,t3,micro,Burstable,2,1.0,5.0,ap-northeast-1,Reserved-1yr,Linux,0.0075,5.47,0.5,0.0037,0.0075
t3.micro,t3,micro,Burstable,2,1.0,5.0,ap-northeast-1,Reserved-1yr,Windows,0.0109,7.96,0.5,0.0054,0.0109
t3.micro,t3,micro,Burstable,2,1.0,5.0,ap-northeast-1,Reserved-1yr,RHEL,0.008,5.84,0.5,0.004,0.008
t3.micro,t3,micro,Burstable,2,1.0,5.0,ap-northeast-1,Reserved-3yr,Linux,0.005,3.65,0.5,0.0025,0.005
t3.micro,t3,micro,Burstable,2,1.0,5.0,ap-northeast-1,Reserved-3yr,Windows,0.0073,5.33,0.5,0.0037,0.0073
t3.micro,t3,micro,Burstable,2,1.0,5.0,ap-northeast-1,Reserved-3yr,RHEL,0.0053,3.87,0.5,0.0027,0.0053
t3.micro,t3,micro,Burstable,2,1.0,5.0,ap-northeast-1,Spot,Linux,0.0037,2.7,0.5,0.0019,0.0037
t3.micro,t3,micro,Burstable,2,1.0,5.0,ap-northeast-1,Spot,Windows,0.0055,4.01,0.5,0.0027,0.0055
t3.micro,t3,micro,Burstable,2,1.0,5.0,ap-northeast-1,Spot,RHEL,0.004,2.92,0.5,0.002,0.004
t3.small,t3,small,Burstable,2,2.0,5.0,us-east-1,OnDemand,Linux,0.0208,15.18,1.0,0.0104,0.0104
t3.small,t3,small,Burstable,2,2.0,5.0,us-east-1,OnDemand,Windows,0.0304,22.19,1.0,0.0152,0.0152
t3.small,t3,small,Burstable,2,2.0,5.0,us-east-1,OnDemand,RHEL,0.0223,16.28,1.0,0.0112,0.0112
t3.small,t3,small,Burstable,2,2.0,5.0,us-east-1,Reserved-1yr,Linux,0.0125,9.12,1.0,0.0063,0.0063
t3.small,t3,small,Burstable,2,2.0,5.0,us-east-1,Reserved-1yr,Windows,0.0182,13.29,1.0,0.0091,0.0091
t3.small,t3,small,Burstable,2,2.0,5.0,us-east-1,Reserved-1yr,RHEL,0.0134,9.78,1.0,0.0067,0.0067
t3.small,t3,small,Burstable,2,2.0,5.0,us-east-1,Reserved-3yr,Linux,0.0083,6.06,1.0,0.0042,0.0042
t3.small,t3,small,Burstable,2,2.0,5.0,us-east-1,Reserved-3yr,Windows,0.0121,8.83,1.0,0.006,0.006
t3.small,t3,small,Burstable,2,2.0,5.0,us-east-1,Reserved-3yr,RHEL,0.0089,6.5,1.0,0.0044,0.0044
t3.small,t3,small,Burstable,2,2.0,5.0,us-east-1,Spot,Linux,0.0062,4.53,1.0,0.0031,0.0031
t3.small,t3,small,Burstable,2,2.0,5.0,us-east-1,Spot,Windows,0.0091,6.64,1.0,0.0046,0.0046
t3.small,t3,small,Burstable,2,2.0,5.0,us-east-1,Spot,RHEL,0.0067,4.89,1.0,0.0034,0.0034
t3.small,t3,small,Burstable,2,2.0,5.0,us-west-2,OnDemand,Linux,0.0214,15.62,1.0,0.0107,0.0107
t3.small,t3,small,Burstable,2,2.0,5.0,us-west-2,OnDemand,Windows,0.0313,22.85,1.0,0.0157,0.0157
t3.small,t3,small,Burstable,2,2.0,5.0,us-west-2,OnDemand,RHEL,0.0229,16.72,1.0,0.0115,0.0115
t3.small,t3,small,Burstable,2,2.0,5.0,us-west-2,Reserved-1yr,Linux,0.0129,9.42,1.0,0.0065,0.0065
t3.small,t3,small,Burstable,2,2.0,5.0,us-west-2,Reserved-1yr,Windows,0.0188,13.72,1.0,0.0094,0.0094
t3.small,t3,small,Burstable,2,2.0,5.0,us-west-2,Reserved-1yr,RHEL,0.0138,10.07,1.0,0.0069,0.0069
t3.small,t3,small,Burstable,2,2.0,5.0,us-west-2,Reserved-3yr,Linux,0.0086,6.28,1.0,0.0043,0.0043
t3.small,t3,small,Burstable,2,2.0,5.0,us-west-2,Reserved-3yr,Windows,0.0125,9.12,1.0,0.0063,0.0063
t3.small,t3,small,Burstable,2,2.0,5.0,us-west-2,Reserved-3yr,RHEL,0.0092,6.72,1.0,0.0046,0.0046
t3.small,t3,small,Burstable,2,2.0,5.0,us-west-2,Spot,Linux,0.0064,4.67,1.0,0.0032,0.0032
t3.small,t3,small,Burstable,2,2.0,5.0,us-west-2,Spot,Windows,0.0094,6.86,1.0,0.0047,0.0047
t3.small,t3,small,Burstable,2,2.0,5.0,us-west-2,Spot,RHEL,0.0069,5.04,1.0,0.0034,0.0034
t3.small,t3,small,Burstable,2,2.0,5.0,eu-west-1,OnDemand,Linux,0.0229,16.72,1.0,0.0115,0.0115
t3.small,t3,small,Burstable,2,2.0,5.0,eu-west-1,OnDemand,Windows,0.0334,24.38,1.0,0.0167,0.0167
t3.small,t3,small,Burstable,2,2.0,5.0,eu-west-1,OnDemand,RHEL,0.0245,17.89,1.0,0.0123,0.0123
t3.small,t3,small,Burstable,2,2.0,5.0,eu-west-1,Reserved-1yr,Linux,0.0137,10.0,1.0,0.0069,0.0069
t3.small,t3,small,Burstable,2,2.0,5.0,eu-west-1,Reserved-1yr,Windows,0.02,14.6,1.0,0.01,0.01
t3.small,t3,small,Burstable,2,2.0,5.0,eu-west-1,Reserved-1yr,RHEL,0.0147,10.73,1.0,0.0073,0.0073
t3.small,t3,small,Burstable,2,2.0,5.0,eu-west-1,Reserved-3yr,Linux,0.0092,6.72,1.0,0.0046,0.0046
t3.small,t3,small,Burstable,2,2.0,5.0,eu-west-1,Reserved-3yr,Windows,0.0134,9.78,1.0,0.0067,0.0067
t3.small,t3,small,Burstable,2,2.0,5.0,eu-west-1,Reserved-3yr,RHEL,0.0098,7.15,1.0,0.0049,0.0049
t3.small,t3,small,Burstable,2,2.0,5.0,eu-west-1,Spot,Linux,0.0069,5.04,1.0,0.0034,0.0034
t3.small,t3,small,Burstable,2,2.0,5.0,eu-west-1,Spot,Windows,0.01,7.3,1.0,0.005,0.005
t3.small,t3,small,Burstable,2,2.0,5.0,eu-west-1,Spot,RHEL,0.0073,5.33,1.0,0.0037,0.0037
t3.small,t3,small,Burstable,2,2.0,5.0,ap-southeast-1,OnDemand,Linux,0.0239,17.45,1.0,0.012,0.012
t3.small,t3,small,Burstable,2,2.0,5.0,ap-southeast-1,OnDemand,Windows,0.0349,25.48,1.0,0.0175,0.0175
t3.small,t3,small,Burstable,2,2.0,5.0,ap-southeast-1,OnDemand,RHEL,0.0256,18.69,1.0,0.0128,0.0128
t3.small,t3,small,Burstable,2,2.0,5.0,ap-southeast-1,Reserved-1yr,Linux,0.0144,10.51,1.0,0.0072,0.0072
t3.small,t3,small,Burstable,2,2.0,5.0,ap-southeast-1,Reserved-1yr,Windows,0.021,15.33,1.0,0.0105,0.0105
t3.small,t3,small,Burstable,2,2.0,5.0,ap-southeast-1,Reserved-1yr,RHEL,0.0154,11.24,1.0,0.0077,0.0077
t3.small,t3,small,Burstable,2,2.0,5.0,ap-southeast-1,Reserved-3yr,Linux,0.0096,7.01,1.0,0.0048,0.0048
t3.small,t3,small,Burstable,2,2.0,5.0,ap-southeast-1,Reserved-3yr,Windows,0.014,10.22,1.0,0.007,0.007
t3.small,t3,small,Burstable,2,2.0,5.0,ap-southeast-1,Reserved-3yr,RHEL,0.0102,7.45,1.0,0.0051,0.0051
t3.small,t3,small,Burstable,2,2.0,5.0,ap-southeast-1,Spot,Linux,0.0072,5.26,1.0,0.0036,0.0036
t3.small,t3,small,Burstable,2,2.0,5.0,ap-southeast-1,Spot,Windows,0.0105,7.67,1.0,0.0053,0.0053
t3.small,t3,small,Burstable,2,2.0,5.0,ap-southeast-1,Spot,RHEL,0.0077,5.62,1.0,0.0039,0.0039
t3.small,t3,small,Burstable,2,2.0,5.0,ap-northeast-1,OnDemand,Linux,0.025,18.25,1.0,0.0125,0.0125
t3.small,t3,small,Burstable,2,2.0,5.0,ap-northeast-1,OnDemand,Windows,0.0364,26.57,1.0,0.0182,0.0182
t3.small,t3,small,Burstable,2,2.0,5.0,ap-northeast-1,OnDemand,RHEL,0.0267,19.49,1.0,0.0134,0.0134
t3.small,t3,small,Burstable,2,2.0,5.0,ap-northeast-1,Reserved-1yr,Linux,0.015,10.95,1.0,0.0075,0.0075
t3.small,t3,small,Burstable,2,2.0,5.0,ap-northeast-1,Reserved-1yr,Windows,0.0219,15.99,1.0,0.0109,0.0109
t3.small,t3,small,Burstable,2,2.0,5.0,ap-northeast-1,Reserved-1yr,RHEL,0.016,11.68,1.0,0.008,0.008
t3.small,t3,small,Burstable,2,2.0,5.0,ap-northeast-1,Reserved-3yr,Linux,0.01,7.3,1.0,0.005,0.005
t3.small,t3,small,Burstable,2,2.0,5.0,ap-northeast-1,Reserved-3yr,Windows,0.0146,10.66,1.0,0.0073,0.0073
t3.small,t3,small,Burstable,2,2.0,5.0,ap-northeast-1,Reserved-3yr,RHEL,0.0107,7.81,1.0,0.0053,0.0053
t3.small,t3,small,Burstable,2,2.0,5.0,ap-northeast-1,Spot,Linux,0.0075,5.47,1.0,0.0037,0.0037
t3.small,t3,small,Burstable,2,2.0,5.0,ap-northeast-1,Spot,Windows,0.0109,7.96,1.0,0.0054,0.0054
t3.small,t3,small,Burstable,2,2.0,5.0,ap-northeast-1,Spot,RHEL,0.008,5.84,1.0,0.004,0.004
t3.medium,t3,medium,Burstable,2,4.0,5.0,us-east-1,OnDemand,Linux,0.0416,30.37,2.0,0.0208,0.0104
t3.medium,t3,medium,Burstable,2,4.0,5.0,us-east-1,OnDemand,Windows,0.0607,44.31,2.0,0.0303,0.0152
t3.medium,t3,medium,Burstable,2,4.0,5.0,us-east-1,OnDemand,RHEL,0.0445,32.48,2.0,0.0222,0.0111
t3.medium,t3,medium,Burstable,2,4.0,5.0,us-east-1,Reserved-1yr,Linux,0.025,18.25,2.0,0.0125,0.0063
t3.medium,t3,medium,Burstable,2,4.0,5.0,us-east-1,Reserved-1yr,Windows,0.0364,26.57,2.0,0.0182,0.0091
t3.medium,t3,medium,Burstable,2,4.0,5.0,us-east-1,Reserved-1yr,RHEL,0.0267,19.49,2.0,0.0134,0.0067
t3.medium,t3,medium,Burstable,2,4.0,5.0,us-east-1,Reserved-3yr,Linux,0.0166,12.12,2.0,0.0083,0.0042
t3.medium,t3,medium,Burstable,2,4.0,5.0,us-east-1,Reserved-3yr,Windows,0.0243,17.74,2.0,0.0121,0.0061
t3.medium,t3,medium,Burstable,2,4.0,5.0,us-east-1,Reserved-3yr,RHEL,0.0178,12.99,2.0,0.0089,0.0044
t3.medium,t3,medium,Burstable,2,4.0,5.0,us-east-1,Spot,Linux,0.0125,9.12,2.0,0.0063,0.0031
t3.medium,t3,medium,Burstable,2,4.0,5.0,us-east-1,Spot,Windows,0.0182,13.29,2.0,0.0091,0.0046
t3.medium,t3,medium,Burstable,2,4.0,5.0,us-east-1,Spot,RHEL,0.0134,9.78,2.0,0.0067,0.0034
t3.medium,t3,medium,Burstable,2,4.0,5.0,us-west-2,OnDemand,Linux,0.0428,31.24,2.0,0.0214,0.0107
t3.medium,t3,medium,Burstable,2,4.0,5.0,us-west-2,OnDemand,Windows,0.0626,45.7,2.0,0.0313,0.0157
t3.medium,t3,medium,Burstable,2,4.0,5.0,us-west-2,OnDemand,RHEL,0.0458,33.43,2.0,0.0229,0.0115
t3.medium,t3,medium,Burstable,2,4.0,5.0,us-west-2,Reserved-1yr,Linux,0.0257,18.76,2.0,0.0129,0.0064
t3.medium,t3,medium,Burstable,2,4.0,5.0,us-west-2,Reserved-1yr,Windows,0.0375,27.38,2.0,0.0187,0.0094
t3.medium,t3,medium,Burstable,2,4.0,5.0,us-west-2,Reserved-1yr,RHEL,0.0275,20.07,2.0,0.0138,0.0069
t3.medium,t3,medium,Burstable,2,4.0,5.0,us-west-2,Reserved-3yr,Linux,0.0171,12.48,2.0,0.0086,0.0043
t3.medium,t3,medium,Burstable,2,4.0,5.0,us-west-2,Reserved-3yr,Windows,0.025,18.25,2.0,0.0125,0.0063
t3.medium,t3,medium,Burstable,2,4.0,5.0,us-west-2,Reserved-3yr,RHEL,0.0183,13.36,2.0,0.0092,0.0046
t3.medium,t3,medium,Burstable,2,4.0,5.0,us-west-2,Spot,Linux,0.0129,9.42,2.0,0.0065,0.0032
t3.medium,t3,medium,Burstable,2,4.0,5.0,us-west-2,Spot,Windows,0.0188,13.72,2.0,0.0094,0.0047
